Player ID,Player Name,Player Team,Player Age,Player Height,Mins Played,tacklePerGame,interceptionPerGame,foulsPerGame,clearancePerGame,wasDribbledPerGame,goal,assistTotal,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnoverPerGame,totalPassesPerGame,passSuccess,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame,xG,xGPerNinety,totalShots,xGPerShot,rating
1376,Alessandro Bianco,Monza,22,173,1700,1.4,0.3,1.4,1.2,0.3,1,0,0.7,0.6,0.6,1.6,0.1,0.7,1.3,41.9,86.6,0.1,2.4,0,1.06,0.06,17,0.06,6.29
1377,Carlos Soler,West Ham,28,180,1068,0.5,0.2,1,0.5,0.6,1,1,0.9,0.5,0.4,0.5,0,0.5,0.4,21.2,87.8,0.3,0.7,0.1,1.57,0.13,19,0.08,6.29
1378,Timon Weiner,Holstein Kiel,26,191,2025,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0,33.7,63.2,0,7.9,0,0,0,0,0,6.29
1379,Nelson Weiper,Mainz,19,192,447,0.3,0.1,0.9,0.2,0.1,2,0,0.8,0.4,0.4,0.1,0.4,0.5,2.5,7.4,67.3,0,0.1,0,2.8,0.56,11,0.25,6.29
1380,Tim Oermann,Bochum,21,189,1300,1.5,0.7,0.6,1.5,0.6,0,1,0.3,0.2,0.1,0.2,0,0.3,0.5,21.9,82.7,0.1,1.4,0,0.08,0.01,5,0.02,6.29
1381,Gavi,Barcelona,20,173,445,0.8,0.5,1.5,0.2,0.1,0,1,0.1,0.4,0.1,0.6,0.1,0.5,0.8,16.1,85,0.1,0.4,0,0.3,0.06,2,0.15,6.29
1382,Marco Komenda,Holstein Kiel,28,184,898,1.2,0.3,0.7,3,0.3,0,0,0.1,0.3,0.1,0.9,0,0,0.2,30.4,79.3,0.3,2.1,0.1,0.04,0.006947578,2,0.02,6.29
1383,Joel Veltman,Brighton,33,184,1647,2.2,0.9,1.4,3.3,1.1,0,0,0.3,0.3,0.2,2.2,0,0.4,1,39.1,82.2,0.4,1.7,0.1,0.54,0.03,6,0.09,6.71
1384,Sean Longstaff,Newcastle,27,187,737,1.4,0.3,0.4,0.3,0.4,0,0,0.3,0.2,0.1,0.3,0,0.4,0.4,15.7,86,0,0.5,0,0.5,0.06,6,0.08,6.29
1385,Ruben Garcia,Osasuna,31,172,1643,1.5,0.5,0.8,1,1,2,4,0.6,1.1,0.4,0.8,0.3,0.4,1.1,28.6,78.9,1.2,1.9,0,1.27,0.07,16,0.08,6.79
